site_id	Lon	Lat
100000001	5.294382	45.829523
100000002	5.299435	45.8323815
100000003	1.918195639	50.30448305
100000004	2.513745757	49.9332428
100000005	2.385456242	49.79422815
100000006	2.169124882	49.71432717
100000007	2.016358357	49.74211763
100000009	7.232714668	47.74561836
100000010	7.264966594	47.82728771
100000011	7.398563309	47.96762657
100000012	7.592563171	48.91860206
100000013	7.75710979	49.04431811
100000014	7.902803052	49.04319903
100000015	6.703332127	48.05790591
100000016	6.760989544	48.18509979
100000017	6.139495842	48.53057291
100000018	6.975323307	48.18445676
100000019	6.729182665	48.53977465
100000020	6.628408377	48.57951326
100000021	6.584674714	48.39720343
100000022	5.80552266	48.90726421
100000023	6.669578399	48.79639989
100000024	7.08033113	49.14902585
100000025	7.472288499	49.12728909
100000026	5.543815146	48.06819812
100000027	5.614143274	48.24112566
100000028	5.733337764	48.40248554
100000029	5.611098085	48.66449129
100000030	5.746197961	49.38094467
100000031	5.680895832	49.31679664
100000032	5.329874291	49.48061661
100000033	3.235082367	48.48744272
100000034	3.17338224	48.44092834
100000035	5.080157244	47.77753501
100000036	4.795337458	48.14423615
100000037	4.619353377	48.27172666
100000038	2.478848762	48.3873699
100000039	2.741157253	48.55882589
100000040	2.78586351	47.94787752
100000041	2.846464786	47.94822298
100000042	2.782218824	48.29527671
100000043	2.383070245	48.36039317
100000044	2.373276174	48.53753886
100000045	2.259468086	48.59466463
100000046	2.036060474	48.56784257
100000047	2.037520931	48.70497398
100000048	2.746371013	48.72114153
100000049	5.165190303	48.34375341
100000050	2.963392679	49.02031902
100000051	3.159559093	48.91606615
100000052	3.445770208	48.78299496
100000053	3.222360334	48.79983322
100000054	3.145147942	48.73610554
100000055	3.828471871	49.91011332
100000056	2.383927063	49.15515367
100000057	1.98546323	49.08701255
100000058	4.259164499	49.73451506
100000059	2.171782498	49.12597218
100000060	1.692093978	48.92749142
100000061	1.723234771	48.98019369
100000062	1.686931075	49.5329023
100000063	1.710584196	49.40230173
100000064	1.735334469	49.27208116
100000065	1.645113805	49.11983613
100000066	1.324057651	49.35275564
100000067	1.291245721	48.44839118
100000068	1.240275918	49.10292765
100000069	1.018208855	48.73073027
100000070	0.761366922	48.76485544
100000071	0.953774483	48.96337592
100000072	1.151793141	49.08025542
100000073	1.036967748	49.50829358
100000074	0.896546	49.49984445
100000075	0.75545658	49.52952979
100000076	1.594905325	49.94859734
100000077	1.138619346	49.88187384
100000078	1.100409917	49.73154677
100000079	0.952933925	49.88276667
100000080	0.626939569	49.83178396
100000081	0.723273401	48.83893208
100000082	0.729010593	49.15328408
100000083	0.568634335	49.34131611
100000084	0.551485797	49.01502337
100000085	4.19433153	44.82388941
100000086	3.919797028	44.88894437
100000088	4.150692978	45.25668349
100000089	4.114111959	45.28559964
100000090	4.046484245	45.99572164
100000091	4.097429923	46.14666444
100000092	4.151536463	46.15012884
100000093	3.678646766	46.50172065
100000094	3.850610567	44.56383846
100000095	3.865724708	44.7258248
100000096	3.490668752	45.11562708
100000097	2.792301122	45.11217715
100000098	3.014131233	45.1418743
100000099	3.294889288	45.44056044
100000100	3.252484376	45.56643192
100000101	3.223359242	45.7389612
100000102	3.447653393	45.96861189
100000103	3.705181093	45.63905933
100000104	3.476710329	45.87357496
100000106	2.809033612	45.87966007
100000107	3.189868717	46.16488734
100000108	3.226302671	46.26317506
100000109	3.310254843	46.340495
100000110	3.319177148	46.40299681
100000111	3.228371759	46.65954198
100000112	1.292766216	47.49318048
100000113	2.566292419	46.14425166
100000114	2.445995151	46.1840181
100000115	2.602639959	46.31241662
100000116	2.8232277	46.42077604
100000118	2.067355404	47.43262661
100000119	1.670793315	47.32060428
100000120	2.1770825	46.44664184
100000121	2.076389166	45.69366379
100000122	2.167500179	45.76421068
100000123	1.919887262	46.21996401
100000124	1.679220242	46.37816311
100000125	1.689399363	46.38577932
100000126	1.338396782	46.11766777
100000127	0.46825983	48.63143304
100000128	-0.022149211	48.38685809
100000129	0.178432904	48.07676224
100000130	-0.146203666	48.47260441
